From the coast of,Direction,Bearing (deg),Distance (km) From-To,Depth (mtr) From-To,Latitude (dms),Longitude (dms)
Cathedral (Chennai),SE,103,41-46,188-193,12 57 24 N,80 40 27 E
Vanavanmadevi,NE,83,15-20,19-24,10 33 34 N,80 1 5 E
Vaithikuppam,SE,99,9-14,22-27,11 56 7 N,79 56 16 E
Chinna Veerampattinam,NE,80,10-15,26-31,11 54 7 N,79 56 1 E
Ayothikuppam,SE,110,40-45,227-232,12 55 11 N,80 39 16 E
Thiruvanmiyur,NE,81,53-58,1372-1377,13 3 38 N,80 46 28 E
P. Pudukuppam,NE,79,11-16,27-32,11 53 37 N,79 55 55 E
Palavakkam,NE,77,59-64,2164-2169,13 4 45 N,80 48 43 E
Mattankuppam,SE,115,41-46,226-231,12 54 2 N,80 38 45 E
Koonimedu Kuppam,SE,121,8-13,18-23,12 2 36 N,79 58 32 E
Thiruchinnankuppam,SE,141,50-55,123-128,12 46 46 N,80 36 52 E
Nochikuppam,SE,116,8-13,19-24,12 2 10 N,79 58 18 E
Thandhirayankuppam,SE,91,8-13,19-24,11 58 8 N,79 56 21 E
Ondikuppam,SE,134,47-52,158-163,12 49 11 N,80 37 32 E
Pattinampakkam,SE,95,43-48,266-271,12 59 30 N,80 41 49 E
Ganapathichettikulam,SE,112,7-12,18-23,12 0 28 N,79 57 15 E
Arkkattuthurai,NE,26,26-31,23-28,10 37 25 N,79 59 8 E
Kameshwaram,SE,123,19-24,11-16,10 30 47 N,80 1 8 E
Lakshmipuram Odaikuppam,SE,129,44-49,200-205,12 51 38 N,80 38 3 E
Pondicherry,NE,83,10-15,24-29,11 55 37 N,79 56 13 E
Pushpavanam,NE,45,20-25,26-31,10 36 13 N,80 0 36 E
Vettaikaranrippu,SE,100,16-21,15-20,10 32 39 N,80 1 19 E
Nallathanneer Odaikuppam,SE,137,48-53,135-140,12 47 58 N,80 37 14 E
Mandavai Pudukuppam,SE,152,10-15,22-27,12 3 52 N,80 0 6 E
Nadukuppam,SE,92,8-13,19-24,11 57 38 N,79 56 17 E
Nemmelikuppam,NE,61,100-105,2692-2697,13 9 51 N,81 4 5 E
Panaiyurkuppam,NE,70,73-78,2491-2496,13 7 17 N,80 54 27 E
Akkaraipettai,NE,44,17-22,23-28,10 52 48 N,79 58 17 E
Kottivakkam,NE,79,56-61,1877-1882,13 4 13 N,80 47 35 E
Pudhukalpakkam,NE,61,97-102,2647-2652,13 9 46 N,81 2 50 E
Vedaranniyam,NE,23,28-33,17-22,10 38 13 N,79 58 39 E
Kathivakkam Chinnakuppam,SE,155,60-65,103-108,12 41 5 N,80 34 14 E
Chinna Neelankarai,NE,76,61-66,2323-2328,13 5 15 N,80 49 51 E
Sodhanaikuppam,SE,93,9-14,21-26,11 57 8 N,79 56 16 E
Chettinagar,SE,125,8-13,18-23,12 3 0 N,79 58 51 E
Chemacherry,NE,63,91-96,2631-2636,13 9 36 N,81 1 35 E
Ernavoorkuppam,SE,153,59-64,105-110,12 42 10 N,80 34 51 E
Periya Neelankarai,NE,75,64-69,2431-2436,13 5 45 N,80 51 1 E
Vellapallam,NE,69,17-22,21-26,10 34 30 N,80 1 13 E
Kanathur,NE,68,79-84,2568-2573,13 8 14 N,80 56 46 E
Vilunthamavadi,SE,113,17-22,12-17,10 31 42 N,80 1 15 E
Kanathur Reddy Kuppam,NE,67,82-87,2595-2600,13 8 39 N,80 57 57 E
Nagore,NE,85,11-16,20-25,10 50 5 N,79 57 58 E
Topputturai,NE,32,24-29,28-33,10 36 46 N,79 59 49 E
Thengaithittu,NE,85,10-15,26-31,11 55 6 N,79 56 11 E
Chennai,SE,126,43-48,206-211,12 52 51 N,80 38 21 E
Kasikoilkuppam,SE,149,55-60,107-112,12 43 18 N,80 35 25 E
Salavankuppam,NE,61,114-119,2911-2916,13 10 1 N,81 8 57 E
Pudu Nemeli Kuppam,NE,61,111-116,2882-2887,13 9 30 N,81 7 49 E
Karikal,SE,130,12-17,17-22,10 49 41 N,79 57 21 E
Pattipulam,NE,61,107-112,2832-2837,13 9 35 N,81 6 34 E
Mullimanagar,SE,92,45-50,377-382,13 0 29 N,80 42 36 E
Pattinacherry,SE,141,14-19,14-19,10 49 5 N,79 56 54 E
Egattur Karikattukuppam,NE,65,85-90,2614-2619,13 9 2 N,80 59 9 E
Thazankuppam,SE,159,65-70,91-96,12 38 56 N,80 32 56 E
Anichankuppam,SE,115,8-13,21-26,12 1 18 N,79 57 47 E
Srinivasapuram,NE,89,46-51,432-437,13 1 24 N,80 43 27 E
Kasiviswanathar koil Kuppam,SE,144,52-57,116-121,12 45 36 N,80 36 25 E
Pudhukuppam,SE,115,7-12,20-25,12 0 56 N,79 57 26 E
Palagaithottikuppam,SE,146,53-58,111-116,12 44 26 N,80 35 56 E
Pillaichavadi,SE,100,8-13,14-19,11 59 33 N,79 56 51 E
Soolerikattukuppam,NE,61,103-108,2747-2752,13 9 48 N,81 5 20 E
Nambiyar Nagar,NE,59,14-19,28-33,10 51 21 N,79 58 34 E
Komuttichavadikuppam,SE,139,9-14,21-26,12 3 33 N,79 59 42 E
Seruthur,NE,28,27-32,19-24,10 54 9 N,79 58 46 E
Samanthanpettai,NE,70,12-17,23-28,10 50 37 N,79 58 28 E
Mudaliarkuppam,SE,113,8-13,21-26,12 1 43 N,79 58 4 E
Orurkuppam,NE,86,48-53,648-653,13 2 15 N,80 44 23 E
Chinnorpettai,SE,153,20-25,13-18,10 48 23 N,79 56 43 E
Chinnandikuppam,NE,74,66-71,2454-2459,13 6 16 N,80 52 9 E
Bommaiyarpalyam,SE,95,8-13,15-20,11 59 7 N,79 56 36 E
Nagapattinam Harbour,NE,50,15-20,30-35,10 52 5 N,79 58 26 E
Chinna mudaliarchavadi,E,90,8-13,15-20,11 58 38 N,79 56 27 E
Covelong (Kovalam),NE,63,89-94,2616-2621,13 9 21 N,81 0 21 E
Nainarkuppam,NE,69,76-81,2532-2537,13 7 46 N,80 55 36 E
Ennorekuppam,SE,162,68-73,87-92,12 37 1 N,80 31 23 E
Ennore Mugathuvarakuppan,SE,161,67-72,87-92,12 37 51 N,80 32 18 E
Anumandhaikuppam,SE,135,8-13,20-25,12 3 17 N,79 59 16 E
Royapuram,SE,132,46-51,173-178,12 50 25 N,80 37 47 E
Nallavadu,NE,80,10-15,27-32,11 53 10 N,79 55 42 E
Kallinodu,NE,58,18-23,21-26,10 35 25 N,80 1 5 E
Injampakkam,NE,72,69-74,2469-2474,13 6 47 N,80 53 18 E
Solainagar North,SE,94,9-14,22-27,11 56 37 N,79 56 16 E
Veerampattinam,NE,81,10-15,26-31,11 54 37 N,79 56 7 E
Periya Kalapet,SE,109,8-13,18-23,12 0 0 N,79 57 5 E
Velanganni,NE,30,25-30,17-22,10 53 32 N,79 58 22 E
Kathivakkam Periakuppam,SE,157,62-67,101-106,12 40 2 N,80 33 33 E
Odaikuppam,NE,83,51-56,960-965,13 2 59 N,80 45 24 E
Pattinampakkam,NE,60,42-47,171-176,13 13 53 N,80 38 13 E
Sambaipattinam,NE,84,13-18,3-8,10 14 23 N,79 24 42 E
Padalore Periya Kuppam,NE,39,54-59,66-71,12 50 36 N,80 28 17 E
Thalampettai,NE,30,41-46,695-700,11 25 16 N,80 3 35 E
Kathivakkam Chinnakuppam,NE,55,37-42,296-301,13 24 21 N,80 37 15 E
Palagaithottikuppam,NE,55,38-43,238-243,13 22 25 N,80 36 59 E
Devanampattinam,NE,51,41-46,109-114,11 59 28 N,80 6 18 E
Ennorekuppam,NE,58,41-46,1024-1029,13 26 16 N,80 39 14 E
Samanthapettai,NE,53,63-68,1103-1108,11 54 2 N,80 14 42 E
